IMEI_no,Device_brand,Device_type,Device_model,Device_status,Registration_date
669863155532971,Samsung,smartphone,Galaxy F54,active,2018-07-23 03:58:51
563766741854775,Vivo,smartphone,Vivo T2 Pro,active,2023-03-11 01:23:37
056542789611872,Xiaomi,smartphone,Poco C55,active,2024-08-24 07:41:21
442759814641569,Samsung,smartphone,Galaxy F54,active,2019-06-16 08:01:09
686695541414410,Samsung,smartphone,Galaxy S22,active,2018-12-19 14:16:52
979823691685847,Motorola,smartphone,Moto G42,active,2024-08-19 14:51:10
972210513227452,OnePlus,smartphone,OnePlus 11R,active,2018-04-23 23:27:18
329814948944277,OnePlus,smartphone,OnePlus Nord 2T,active,2021-01-26 14:10:06
374160039783060,Apple,smartphone,iPhone 15,active,2018-05-09 14:44:53
089066947656281,Vivo,smartphone,Vivo T2 Pro,active,2018-04-12 02:57:09
951557040133061,Oppo,smartphone,Oppo A77,active,2020-02-28 06:26:54
418928408368479,Oppo,smartphone,Oppo F23,active,2021-10-03 05:19:20
314905701945501,Samsung,smartphone,Galaxy Note 20,active,2020-10-12 02:15:28
453037936441750,Oppo,smartphone,Oppo A96,active,2024-07-15 05:32:01
036290204145695,Xiaomi,smartphone,Poco X5,active,2021-01-16 22:09:36
135120308920780,Apple,smartphone,iPhone 14,active,2023-04-03 07:59:22
732699171866042,Vivo,smartphone,Vivo T1 Pro,active,2021-09-06 20:13:47
802694246201480,Apple,smartphone,iPhone 15 Pro,inactive,2021-01-15 12:44:50
018738011151960,Realme,smartphone,Realme Narzo 60,active,2018-04-22 11:55:02
521531020141911,Oppo,smartphone,Oppo A77,active,2023-11-15 00:29:03
633808515978294,Samsung,smartphone,Galaxy A34,active,2022-12-14 02:09:19
048314148401789,Vivo,smartphone,Vivo T2,active,2019-03-24 12:35:47
605023335662008,Vivo,smartphone,Vivo Y100,active,2022-08-11 20:27:45
649446438455758,Xiaomi,smartphone,Poco C55,active,2020-08-11 23:02:51
998121381189382,Realme,smartphone,Realme GT 5,blocked,2021-09-01 01:10:18
234870816384882,Google,smartphone,Pixel 6a,active,2019-09-17 11:03:31
548749663515828,Oppo,smartphone,Oppo A58,active,2020-06-23 02:48:01
728927437274250,Xiaomi,smartphone,Redmi 12,active,2024-07-29 18:07:12
962646921739293,Motorola,smartphone,Moto Edge 40,active,2021-06-24 15:09:11
056091085158682,Apple,smartphone,iPhone 12,active,2023-07-19 03:19:08
508448748717135,Samsung,smartphone,Galaxy A73,active,2020-06-24 16:36:49
231911890553184,Apple,smartphone,iPhone 13,active,2019-07-22 19:51:03
493661268381054,Oppo,smartphone,Oppo Reno 8,active,2020-10-17 10:20:22
270898747191438,Vivo,smartphone,Vivo Y22,active,2020-02-12 02:50:52
440210330686248,Apple,smartphone,iPhone 13,active,2019-12-16 12:33:16
368161859092549,Motorola,smartphone,Moto G52,active,2018-08-15 08:57:25
324058027115796,Samsung,smartphone,Galaxy F54,active,2023-09-14 11:04:45
139564481940349,Xiaomi,smartphone,Mi 11X,active,2021-06-11 22:21:34
465710239309295,Vivo,smartphone,Vivo Y56,active,2020-08-08 15:31:55
410227533045728,Xiaomi,smartphone,Redmi Note 12,active,2021-06-14 12:35:59
601656033595923,Oppo,smartphone,Oppo A58,active,2022-07-20 21:52:55
420942321538636,Realme,smartphone,Realme 10 Pro,active,2023-10-08 10:59:43
027624385821680,Apple,smartphone,iPhone 11,lost,2022-03-23 12:23:48
520009187094536,Apple,smartphone,iPhone 11,active,2021-08-10 14:36:49
699208741404876,Vivo,smartphone,Vivo T1 Pro,active,2018-04-13 20:52:18
935075309096445,Google,smartphone,Pixel 7a,active,2020-03-30 16:41:10
271266398015221,Xiaomi,smartphone,Poco F5,active,2018-04-26 15:45:27
852945287603774,Xiaomi,smartphone,Redmi 9,active,2019-02-02 17:32:40
911614957840779,Samsung,smartphone,Galaxy S21 FE,active,2024-09-25 15:03:00
330009183478287,Samsung,smartphone,Galaxy S22,active,2024-04-11 19:24:57
428163959639100,OnePlus,smartphone,OnePlus Nord 2T,active,2019-12-13 03:17:50
938339567062612,Xiaomi,smartphone,Redmi Note 12,active,2018-06-10 03:52:04
283090937940278,Oppo,smartphone,Oppo F21 Pro,active,2021-03-25 21:24:22
538681342688251,Realme,smartphone,Realme GT 5,active,2021-08-18 03:05:44
539876927472902,Apple,smartphone,iPhone 11,active,2019-12-24 17:02:43
500620514630533,Apple,smartphone,iPhone SE 2022,active,2024-06-18 08:33:44
214591972935360,Apple,smartphone,iPhone 15 Pro,active,2020-12-27 17:52:24
675698774973358,Vivo,smartphone,Vivo Y56,active,2018-02-23 18:58:59
253158286293774,Samsung,smartphone,Galaxy S21 FE,active,2018-10-25 05:44:58
788556197152570,Apple,smartphone,iPhone XR,active,2019-12-23 05:33:03
864199221507527,Google,smartphone,Pixel 5a,lost,2021-09-17 20:42:59
762434450918900,Apple,smartphone,iPhone 14,active,2020-09-03 07:41:05
183179062992517,Motorola,smartphone,Moto G52,active,2024-05-06 12:12:17
394048998971555,Apple,smartphone,iPhone 15,inactive,2019-11-18 10:15:26
859748278962273,Vivo,smartphone,Vivo Y22,active,2019-04-29 20:24:17
137147140967526,Motorola,smartphone,Moto G32,active,2023-04-01 08:00:51
890877087900832,Xiaomi,smartphone,Redmi 9,lost,2020-07-23 07:18:32
360119055647250,OnePlus,smartphone,OnePlus 10T,active,2024-09-07 09:47:59
282277786101182,Vivo,smartphone,Vivo T2 Pro,active,2023-04-21 08:20:09
051014230035358,Samsung,smartphone,Galaxy S22,active,2022-02-05 10:50:59
500112254367308,Xiaomi,smartphone,Redmi 12,active,2018-06-20 12:25:22
680274542733432,Samsung,smartphone,Galaxy A73,active,2019-03-04 20:02:05
667725134849949,Xiaomi,smartphone,Poco C55,blocked,2019-04-11 21:14:14
328453936939160,Samsung,smartphone,Galaxy A73,active,2022-03-18 23:26:54
843268379435236,Realme,smartphone,Realme 9 Pro,inactive,2020-05-22 21:22:26
379135241973982,Apple,smartphone,iPhone 13,active,2020-02-23 02:44:24
160179118269352,Samsung,smartphone,Galaxy S22,active,2020-02-10 05:18:15
647870961252129,Oppo,smartphone,Oppo Reno 8,inactive,2021-09-01 05:40:48
833371019978094,Samsung,smartphone,Galaxy A34,lost,2022-02-08 15:41:00
656424397539392,Samsung,smartphone,Galaxy S22,active,2023-01-10 14:11:40
053921440825667,Oppo,smartphone,Oppo A17,active,2019-03-16 23:48:20
075211566389259,OnePlus,smartphone,OnePlus Open,active,2019-05-08 09:29:30
