Plan_id,benefit_id,Duration,terms_condition
PLN000009,BEN000104,365,Applicable only on selected networks.
PLN000059,BEN000199,180,Can be availed once per billing cycle.
PLN000046,BEN000047,180,Benefit auto-activates within 24 hours of recharge.
PLN000020,BEN000050,30,Valid for plan duration only. Non-transferable.
PLN000007,BEN000118,7,Maximum one redemption per subscriber.
PLN000070,BEN000191,14,Benefit auto-activates within 24 hours of recharge.
PLN000082,BEN000047,14,Maximum one redemption per subscriber.
PLN000005,BEN000131,28,Can be availed once per billing cycle.
PLN000089,BEN000188,28,Applicable only on selected networks.
PLN000025,BEN000081,14,Requires active internet connection to access.
PLN000098,BEN000084,365,Valid for plan duration only. Non-transferable.
PLN000049,BEN000149,28,Valid for plan duration only. Non-transferable.
PLN000057,BEN000052,365,Applicable only on selected networks.
PLN000090,BEN000081,60,Can be availed once per billing cycle.
PLN000030,BEN000115,365,Applicable only on selected networks.
PLN000046,BEN000058,7,Terms subject to change without notice.
PLN000077,BEN000055,7,Benefit auto-activates within 24 hours of recharge.
PLN000034,BEN000146,180,Benefit auto-activates within 24 hours of recharge.
PLN000058,BEN000029,7,Redeemable via MyTelecom app.
PLN000029,BEN000093,60,Offer valid for new subscribers only.
PLN000014,BEN000151,365,Requires active internet connection to access.
PLN000010,BEN000060,365,Maximum one redemption per subscriber.
PLN000063,BEN000104,7,Can be availed once per billing cycle.
PLN000048,BEN000065,180,Benefit auto-activates within 24 hours of recharge.
PLN000055,BEN000061,14,Offer valid for new subscribers only.
PLN000038,BEN000058,30,Terms subject to change without notice.
PLN000032,BEN000038,90,Requires active internet connection to access.
PLN000022,BEN000081,28,Benefit auto-activates within 24 hours of recharge.
PLN000052,BEN000016,180,Redeemable via MyTelecom app.
PLN000094,BEN000182,28,Requires active internet connection to access.
PLN000091,BEN000070,14,Can be availed once per billing cycle.
PLN000005,BEN000149,14,Applicable only on selected networks.
PLN000087,BEN000093,180,Maximum one redemption per subscriber.
PLN000100,BEN000034,365,Applicable only on selected networks.
PLN000078,BEN000089,28,Redeemable via MyTelecom app.
PLN000065,BEN000026,90,Requires active internet connection to access.
PLN000086,BEN000165,60,Redeemable via MyTelecom app.
PLN000058,BEN000164,90,Can be availed once per billing cycle.
PLN000046,BEN000018,60,Applicable only on selected networks.
PLN000068,BEN000131,180,Applicable on first activation. Subject to availability.
PLN000009,BEN000147,365,Valid for plan duration only. Non-transferable.
PLN000028,BEN000081,7,Redeemable via MyTelecom app.
PLN000027,BEN000031,30,Applicable only on selected networks.
PLN000045,BEN000159,7,Maximum one redemption per subscriber.
PLN000009,BEN000126,14,Maximum one redemption per subscriber.
PLN000048,BEN000112,90,Benefit auto-activates within 24 hours of recharge.
PLN000025,BEN000092,180,Applicable on first activation. Subject to availability.
PLN000066,BEN000025,14,Offer valid for new subscribers only.
PLN000006,BEN000011,7,Requires active internet connection to access.
PLN000050,BEN000026,180,Applicable only on selected networks.
PLN000077,BEN000162,28,Offer valid for new subscribers only.
PLN000057,BEN000077,60,Valid for plan duration only. Non-transferable.
PLN000041,BEN000105,60,Applicable only on selected networks.
PLN000064,BEN000018,7,Benefit auto-activates within 24 hours of recharge.
PLN000044,BEN000128,30,Offer valid for new subscribers only.
PLN000077,BEN000105,180,Offer valid for new subscribers only.
PLN000072,BEN000023,60,Can be availed once per billing cycle.
