Port_id,Sim_id,request_date,completion_date,new_operator,Reason
PORT000001,SIM068478,2023-07-19 07:54:37,2023-07-25 02:05:07,MTNL,Network quality issues
PORT000002,SIM017738,2019-06-29 16:59:32,2019-07-05 13:30:35,Tata Docomo,Better data speed
PORT000003,SIM049334,2021-02-05 04:28:18,2021-02-10 11:21:09,MTNL,Lower tariff plans
PORT000004,SIM034568,2024-01-27 12:42:20,2024-02-01 18:46:16,BSNL,Better network coverage
PORT000005,SIM054403,2022-03-30 12:37:28,2022-04-05 08:58:33,Aircel,Better data speed
PORT000006,SIM021492,2020-12-01 18:25:05,,Airtel,Poor signal strength
PORT000007,SIM054042,2021-12-15 07:17:19,2021-12-21 06:20:52,Vi,Better network coverage
PORT000008,SIM026467,2024-06-19 06:39:01,2024-06-23 15:08:22,Aircel,Relocation to another city
PORT000009,SIM002280,2023-01-06 11:32:58,2023-01-12 21:56:10,Tata Docomo,Attractive offers from new operator
PORT000010,SIM048256,2019-04-28 06:32:38,2019-04-29 20:10:45,Airtel,Network quality issues
PORT000011,SIM004631,2023-07-26 01:47:47,2023-07-28 02:00:50,Idea,Poor signal strength
PORT000012,SIM050580,2024-12-24 16:06:32,,Idea,Better customer service
PORT000013,SIM007716,2021-07-21 20:59:16,2021-07-28 12:51:58,Tata Docomo,Friend recommendation
PORT000014,SIM062398,2021-07-23 07:17:17,2021-07-29 09:51:49,Tata Docomo,Network quality issues
PORT000015,SIM036325,2019-09-30 01:48:28,2019-10-03 17:36:36,Jio,Lower tariff plans
PORT000016,SIM049668,2020-02-10 07:00:23,,Vi,Better data speed
PORT000017,SIM013051,2024-09-01 21:20:13,2024-09-07 12:16:01,Vi,Friend recommendation
PORT000018,SIM068360,2019-10-07 02:55:40,2019-10-13 18:12:41,Aircel,Network quality issues
PORT000019,SIM060025,2020-02-19 22:25:36,,Airtel,Friend recommendation
PORT000020,SIM011307,2023-01-28 02:05:04,2023-01-31 07:22:25,Tata Docomo,Network quality issues
PORT000021,SIM015452,2024-12-25 08:59:02,2024-12-26 14:22:38,MTNL,Friend recommendation
PORT000022,SIM007848,2022-04-19 14:29:56,2022-04-23 06:06:56,Tata Docomo,Network quality issues
PORT000023,SIM039392,2021-05-10 01:21:16,2021-05-13 02:18:53,Idea,Better customer service
PORT000024,SIM045437,2024-12-28 17:21:01,,Aircel,Friend recommendation
PORT000025,SIM009797,2021-09-21 14:38:07,2021-09-24 07:46:35,Reliance,Poor signal strength
PORT000026,SIM036610,2023-05-29 19:40:12,2023-06-01 19:30:56,Airtel,Relocation to another city
PORT000027,SIM039696,2023-10-17 19:42:22,2023-10-21 20:25:31,Reliance,Network quality issues
PORT000028,SIM025754,2022-03-20 20:07:08,2022-03-25 00:28:11,Aircel,Poor signal strength
PORT000029,SIM056905,2024-12-26 01:47:54,,MTNL,Better network coverage
PORT000030,SIM055001,2019-06-19 13:58:36,2019-06-22 12:07:12,Reliance,Friend recommendation
PORT000031,SIM051172,2022-04-05 00:35:36,2022-04-08 11:20:29,Jio,Lower tariff plans
PORT000032,SIM003813,2024-02-27 05:32:09,2024-03-01 02:14:39,MTNL,Better network coverage
PORT000033,SIM020176,2024-07-10 19:39:49,2024-07-14 05:38:40,Reliance,Better data speed
PORT000034,SIM035461,2019-08-18 03:02:42,2019-08-21 02:18:54,Jio,Network quality issues
PORT000035,SIM052149,2023-06-08 07:07:34,2023-06-11 09:25:02,Idea,Relocation to another city
