Sim_id,IMEI_no,Start_date,end_date
SIM000001,669863155532971,2019-12-04 10:51:18,2020-08-06 14:21:34
SIM000002,563766741854775,2020-12-30 12:35:55,
SIM000003,056542789611872,2021-11-12 02:44:17,
SIM000004,442759814641569,2020-08-05 01:07:04,2021-01-18 11:53:50
SIM000005,686695541414410,2024-07-04 21:29:00,
SIM000006,979823691685847,2023-07-19 03:22:43,
SIM000007,972210513227452,2018-05-12 11:18:58,2019-04-30 21:48:58
SIM000008,329814948944277,2024-12-11 11:39:53,
SIM000009,374160039783060,2020-07-20 06:15:19,
SIM000010,089066947656281,2023-05-31 13:18:34,2024-04-20 15:49:12
SIM000011,951557040133061,2022-12-07 06:34:59,2023-07-13 22:45:49
SIM000012,418928408368479,2022-05-14 08:39:00,
SIM000013,314905701945501,2020-07-04 07:39:51,
SIM000014,453037936441750,2022-02-08 17:11:43,2022-12-05 21:37:17
SIM000015,036290204145695,2023-03-24 09:12:12,2023-09-05 19:03:20
SIM000016,135120308920780,2024-08-09 05:59:02,2024-12-22 17:49:35
SIM000017,732699171866042,2023-07-02 01:50:36,2024-02-22 22:19:01
SIM000018,802694246201480,2022-07-29 01:14:17,2023-05-23 09:23:17
SIM000019,018738011151960,2024-09-07 01:41:46,
SIM000020,521531020141911,2019-04-05 20:56:06,
SIM000021,633808515978294,2018-04-11 16:20:20,
SIM000022,048314148401789,2022-03-28 18:31:00,2023-01-06 22:05:00
SIM000023,605023335662008,2019-07-04 14:16:08,2019-10-31 07:44:15
SIM000024,649446438455758,2019-03-11 09:02:42,2019-09-12 05:39:21
SIM000025,998121381189382,2022-05-28 07:52:27,2023-03-04 23:22:18
SIM000026,234870816384882,2019-06-20 21:33:14,
SIM000027,548749663515828,2023-10-29 09:20:00,
SIM000028,728927437274250,2019-11-02 12:00:41,2020-02-11 16:35:37
SIM000029,962646921739293,2021-07-24 06:39:23,
SIM000030,056091085158682,2023-11-19 16:07:39,
SIM000031,508448748717135,2019-03-22 04:28:22,2019-08-24 03:59:43
SIM000032,231911890553184,2020-01-04 05:31:54,2020-06-02 22:15:44
SIM000033,493661268381054,2020-03-22 08:47:18,
SIM000034,270898747191438,2022-11-29 15:20:03,2023-06-08 19:57:04
SIM000035,440210330686248,2021-08-04 21:10:24,2022-02-10 01:07:49
SIM000036,368161859092549,2022-07-04 09:56:48,
SIM000037,324058027115796,2019-03-23 06:55:46,2020-03-13 02:05:53
SIM000038,139564481940349,2023-03-10 18:26:14,2023-10-16 21:00:25
SIM000039,465710239309295,2022-06-21 01:18:55,2022-11-26 02:43:22
SIM000040,410227533045728,2018-10-27 12:01:03,2019-01-26 17:32:58
SIM000041,601656033595923,2018-10-01 14:57:38,2019-09-01 03:10:33
SIM000042,420942321538636,2023-05-30 13:25:35,2024-03-13 19:21:35
SIM000043,027624385821680,2023-10-28 21:16:15,2024-06-03 16:46:38
SIM000044,520009187094536,2024-05-31 06:47:46,
SIM000045,699208741404876,2021-03-27 16:05:03,2021-09-29 08:32:23
SIM000046,935075309096445,2024-07-12 02:39:41,
SIM000047,271266398015221,2022-01-10 17:42:20,2022-08-21 07:55:03
SIM000048,852945287603774,2020-01-28 08:56:12,
SIM000049,911614957840779,2022-07-31 14:34:15,
SIM000050,330009183478287,2023-06-18 00:31:15,2023-11-12 13:11:31
SIM000051,428163959639100,2023-04-14 03:20:24,
SIM000052,938339567062612,2019-01-28 19:03:19,
SIM000053,283090937940278,2024-03-18 16:35:52,
SIM000054,538681342688251,2022-01-11 07:07:31,2022-09-28 09:07:55
SIM000055,539876927472902,2018-07-15 13:57:01,2018-11-30 19:10:05
SIM000056,500620514630533,2022-10-11 17:57:52,
SIM000057,214591972935360,2020-06-04 15:33:44,2020-12-08 12:32:19
SIM000058,675698774973358,2022-06-07 01:21:48,2022-12-04 18:18:42
SIM000059,253158286293774,2020-06-18 23:46:10,
SIM000060,788556197152570,2018-07-31 05:29:50,2019-07-12 01:35:05
SIM000061,864199221507527,2022-09-11 21:53:08,
SIM000062,762434450918900,2022-01-16 03:45:54,
SIM000063,183179062992517,2024-01-06 23:55:29,
SIM000064,394048998971555,2022-04-17 18:49:35,2023-03-29 11:17:30
SIM000065,859748278962273,2019-05-13 07:54:44,2020-04-26 04:02:41
SIM000066,137147140967526,2019-11-11 11:46:41,
SIM000067,890877087900832,2023-03-11 04:24:12,2023-10-12 14:15:24
SIM000068,360119055647250,2018-10-26 02:27:17,2019-07-02 18:54:19
SIM000069,282277786101182,2021-02-22 07:53:17,2021-08-12 23:47:26
SIM000070,051014230035358,2019-05-20 10:30:14,2019-11-13 05:16:40
SIM000071,500112254367308,2019-02-18 13:17:48,2019-06-02 12:28:30
SIM000072,680274542733432,2022-10-10 11:11:53,
SIM000073,667725134849949,2024-06-01 10:36:53,
SIM000074,328453936939160,2024-02-07 20:59:56,
SIM000075,843268379435236,2024-05-24 15:55:32,2024-11-11 07:52:38
SIM000076,379135241973982,2023-09-14 03:19:25,2024-01-08 11:14:50
SIM000077,160179118269352,2021-10-02 23:19:01,2022-02-14 08:19:20
SIM000078,647870961252129,2020-01-28 09:26:09,
SIM000079,833371019978094,2018-03-31 21:37:02,
SIM000080,656424397539392,2021-08-20 07:59:06,
SIM000081,053921440825667,2023-09-08 18:52:05,
SIM000082,075211566389259,2022-11-20 04:04:14,
SIM000083,460467289895349,2020-04-24 12:48:31,
SIM000084,779671555550736,2021-04-18 09:53:30,
SIM000085,638327885107508,2021-02-15 11:36:19,2021-09-19 05:57:30
SIM000086,498115992507950,2024-10-23 04:15:32,
SIM000087,426220189914533,2020-08-12 04:58:45,
SIM000088,725518720569370,2024-05-05 22:17:54,
SIM000089,583840979317805,2023-03-23 13:56:38,
SIM000090,358789898452571,2023-09-26 14:39:22,
SIM000091,869445947069993,2022-05-09 21:23:53,
SIM000092,268373251569326,2018-05-17 04:15:22,
SIM000093,379055199632785,2024-09-04 06:18:04,
SIM000094,562706078722759,2024-12-30 12:13:29,
SIM000095,280036536672177,2020-05-24 22:12:52,
